,Salary,DOJ,DOL,Designation,JobCity,Gender,DOB,10percentage,10board,12graduation,12percentage,12board,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityID,CollegeCityTier,CollegeState,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience
12,270000,2013-12-01,present,quality assurance engineer,Pune,m,1990-11-21,83.6,StateBoard,2008,69.83,StateBoard,2,B.Tech/B.E.,EC,60.0,2665,0,Maharashtra,2013,380,580,470,0.229481754911755,-1,266,-1,-1,-1,206,-1,0.1282,0.5454,-0.7585,-0.995,0.8637
13,200000,2014-01-01,present,qa analyst,Gurgaon,m,1990-10-23,60.8,CBSE,2008,62.4,CBSE,2,B.Tech/B.E.,EC,60.0,5232,0,Haryana,2012,495,425,645,0.538386892985096,385,333,-1,-1,-1,-1,-1,0.3555,0.0328,-0.598,-0.2902,-1.2354
14,300000,2013-07-01,present,java software engineer,Bangalore,m,1992-07-02,81.2,StateBoard,2008,79.9,StateBoard,2,B.Tech/B.E.,EC,67.67,64,0,Uttar Pradesh,2013,395,565,645,-1.0,495,-1,376,-1,-1,-1,-1,0.7027,0.7119,0.01,-0.995,0.6721
15,350000,2013-08-01,present,network engineer,Unknown,f,1990-01-17,69.54,CISCE,2008,64.43,CISCE,2,B.Tech/B.E.,IT,63.0,4501,0,Uttar Pradesh,2012,485,520,355,0.308400582860308,355,-1,-1,-1,-1,-1,-1,1.7465,1.9048,0.672,-0.2902,1.2528
16,325000,2014-09-01,present,product development engineer,Noida,m,1992-06-10,85.8,CBSE,2010,74.8,CBSE,2,B.Tech/B.E.,EC,64.8,13473,0,Uttar Pradesh,2014,685,530,620,-1.0,515,-1,-1,-1,-1,-1,-1,1.1336,1.0449,0.7785,-0.6147,-0.8608
17,250000,2013-08-01,2014-09-01 00:00:00,associate software developer,Gurgaon,m,1987-09-28,60.8,CBSE,2006,66.66,CBSE,2,MCA,CS,74.74,41,1,Delhi,2013,465,585,515,0.911395278391328,545,-1,500,-1,-1,-1,-1,0.8463,1.0449,-1.0659,-1.6289,0.6721
18,120000,2014-01-01,2014-06-01 00:00:00,data entry operator,Gurgaon,m,1992-12-07,65.0,StateBoard,2008,64.8,CISCE,2,B.Tech/B.E.,CS,69.54,184,0,Uttar Pradesh,2013,465,495,515,0.563267823666597,425,-1,-1,-1,-1,-1,-1,-0.159,0.3789,1.3933,-0.2344,1.4386
19,325000,2014-09-01,present,software engineer,Pune,f,1990-11-30,79.0,CBSE,2008,62.2,CBSE,2,B.Tech/B.E.,CS,76.3,7977,0,Uttar Pradesh,2012,485,445,435,0.864685413370085,525,-1,-1,-1,-1,-1,-1,0.8192,0.2668,-0.2714,-0.4078,-0.1295
20,320000,2010-11-01,2012-09-01 00:00:00,software engineer,Bangalore,f,1988-07-25,91.2,StateBoard,2006,84.63,StateBoard,2,B.Tech/B.E.,CS,78.15,4437,0,Karnataka,2010,455,535,445,0.635978756456794,445,-1,-1,-1,-1,-1,-1,-0.1082,0.9688,0.5269,-0.2902,0.3444
21,200000,2012-08-01,2013-12-01 00:00:00,software engineer,Unknown,f,1991-08-20,75.67,StateBoard,2007,74.4,StateBoard,2,B.Tech/B.E.,IT,74.01,11368,0,Uttar Pradesh,2012,385,555,445,0.635978756456794,445,-1,-1,-1,-1,-1,-1,-1.0355,-0.5913,-1.3599,0.0622299999999999,-1.3539
22,190000,2013-10-01,2015-04-01 00:00:00,developer,Hyderabad,m,1992-01-23,92.5,StateBoard,2009,95.2,StateBoard,2,B.Tech/B.E.,EC,76.0,8232,0,Telangana,2013,395,455,485,-1.0,455,-1,-1,-1,-1,-1,-1,-0.4463,-0.6201,-0.6048,0.7798,-2.7769
23,180000,2014-08-01,2015-04-01 00:00:00,electrical project engineer,Bangalore,m,1986-07-30,70.0,StateBoard,2006,43.42,StateBoard,2,B.Tech/B.E.,EC,55.52,11388,1,Karnataka,2014,370,360,270,0.649389714846691,-1,356,-1,-1,-1,-1,-1,-0.7335,-2.1186,-1.9881,-0.4879,-5.0763
24,335000,2014-06-01,2015-06-01 00:00:00,programmer analyst,Hyderabad,m,1993-06-28,88.0,StateBoard,2010,90.0,StateBoard,2,B.Tech/B.E.,CS,76.0,9173,1,Telangana,2014,625,555,630,0.356536487724475,475,-1,346,-1,-1,-1,-1,0.4155,0.8027,0.1357,-0.995,-0.6692
25,435000,2012-09-01,present,systems analyst,Gurgaon,f,1991-03-02,86.8,CBSE,2008,82.8,CBSE,2,B.Tech/B.E.,CS,78.0,9019,0,Haryana,2012,575,585,575,0.744758354008939,565,-1,438,-1,-1,-1,-1,0.0464,1.2028,-0.9245,0.5323,-0.2875
26,345000,2011-01-01,2013-10-01 00:00:00,senior software engineer,Bangalore,m,1988-02-05,90.88,StateBoard,2006,82.5,StateBoard,2,B.Tech/B.E.,CS,66.15,124,0,Orissa,2010,415,335,405,0.884122511593735,535,333,-1,313,-1,-1,320,0.8192,0.1888,-1.7954,1.8249,1.1343
27,300000,2014-09-01,2015-01-01 00:00:00,ase,Bangalore,m,1993-02-01,76.8,StateBoard,2009,83.0,StateBoard,2,B.Tech/B.E.,EC,76.44,64,0,Uttar Pradesh,2014,535,510,605,0.881620069530177,-1,420,-1,-1,-1,-1,-1,0.99,1.3779,0.7785,-0.2344,-0.6692
28,145000,2015-02-01,2015-04-01 00:00:00,telecommunication engineer,Noida,m,1994-01-20,84.0,CBSE,2011,68.0,CBSE,2,B.Tech/B.E.,EC,72.0,76,0,Uttar Pradesh,2015,580,570,385,0.207392169717661,335,260,-1,-1,-1,313,-1,0.1282,0.7119,1.3933,-0.3612,-0.0943
29,220000,2014-11-01,2014-04-01 00:00:00,java software engineer,Gurgaon,m,1992-06-11,64.0,CBSE,2010,74.0,CBSE,2,B.Tech/B.E.,IT,68.0,57,0,Haryana,2014,485,375,435,0.486747008438193,345,-1,376,-1,-1,-1,-1,-3.1994,-1.8393,0.0552,0.0623,-0.7615
30,530000,2011-12-01,present,systems engineer,Hyderabad,m,1989-10-04,84.0,StateBoard,2007,92.0,StateBoard,2,B.Tech/B.E.,CS,77.2,5003,0,Andhra Pradesh,2011,475,405,695,0.670743151433127,455,-1,-1,-1,-1,-1,-1,-0.4173,0.6568,-0.0537,-1.2303,-0.9194
31,340000,2014-08-01,2015-04-01 00:00:00,software engineer,Bangalore,m,1992-10-23,77.2,StateBoard,2010,86.1,StateBoard,2,B.Tech/B.E.,CS,71.0,7282,0,Tamil Nadu,2014,560,485,450,0.622642915849938,485,-1,407,-1,-1,-1,-1,-0.0154,1.2114,1.0859,-1.5021,0.2889
32,360000,2013-10-01,present,application developer,Noida,f,1991-09-14,87.0,CBSE,2009,84.4,CBSE,1,B.Tech/B.E.,CS,79.3,8195,1,Delhi,2013,570,475,295,0.413838255788123,385,-1,-1,-1,-1,-1,-1,-0.7335,-0.4536,-1.0659,1.1601,-0.4776
33,145000,2014-10-01,present,ios developer,Kolkata,m,1992-01-07,73.0,StateBoard,2010,68.4,StateBoard,2,B.Tech/B.E.,IT,74.3,8297,1,West Bengal,2014,560,530,605,0.911395278391328,445,-1,500,-1,-1,-1,-1,-0.7335,0.5454,-0.7585,-0.6147,1.4386
34,215000,2015-01-01,present,executive assistant,Bangalore,f,1989-08-30,71.0,CBSE,2009,68.0,CISCE,2,B.Tech/B.E.,CS,70.86,7869,0,Uttar Pradesh,2013,430,510,405,0.356536487724475,465,-1,346,-1,-1,-1,-1,1.5644,1.0449,0.3174,-1.8824,1.0554
35,350000,2014-03-01,present,online marketing manager,Mohali,f,1990-09-15,85.0,CBSE,2008,61.0,CBSE,2,B.Tech/B.E.,EC,64.98,272,0,Punjab,2011,570,475,430,-1.0,-1,-1,-1,-1,-1,-1,-1,-0.4854,-0.5213,2.1129,-0.735,1.8224
36,270000,2013-03-01,present,software engineer,Hyderabad,f,1992-08-21,91.5,StateBoard,2009,93.8,StateBoard,1,B.Tech/B.E.,CS,74.1,11509,1,Telangana,2013,380,535,530,0.525922584252055,415,-1,-1,-1,-1,-1,-1,-1.0208,0.2124,0.4711,0.2727,-0.0943
37,80000,2010-10-01,2015-04-01 00:00:00,documentation specialist,Gurgaon,m,1993-02-13,77.0,CBSE,2010,85.4,CBSE,2,B.Tech/B.E.,EC,63.9,272,0,Punjab,2014,475,605,415,0.649389714846691,435,356,-1,-1,-1,-1,-1,0.2718,0.5454,0.3174,-1.8824,-0.4776
38,330000,2014-01-01,present,associate software engineer,Bangalore,m,1991-10-02,52.33,StateBoard,2007,67.0,StateBoard,2,MCA,CS,77.15,44,0,Uttar Pradesh,2013,450,525,545,0.735795709224656,475,-1,-1,-1,-1,-1,-1,-0.0154,1.2114,0.6248,0.7798,0.8637
39,200000,2013-01-01,2013-06-01 00:00:00,management trainee,Unknown,m,1991-02-28,88.0,StateBoard,2008,89.66,StateBoard,2,B.Tech/B.E.,EC,76.4,867,0,Kerala,2012,510,640,635,0.124502074009537,-1,233,-1,-1,-1,-1,-1,0.3941,1.2808,0.2366,-2.1998,-0.4455
40,120000,2011-06-01,2012-03-01 00:00:00,site manager,Jhansi,m,1989-05-04,66.6,CBSE,2007,68.6,StateBoard,2,B.Tech/B.E.,ME,60.22,105,0,Uttar Pradesh,2011,425,595,475,0.130441735719574,-1,-1,-1,286,-1,-1,-1,-0.4173,0.3448,0.0914,-0.4078,0.6603
41,145000,2014-07-01,2014-09-01 00:00:00,software developer,Delhi,m,1992-04-21,75.0,CBSE,2009,60.0,CBSE,2,B.Tech/B.E.,CS,66.0,105,0,Uttar Pradesh,2014,380,545,460,0.356536487724475,395,-1,346,-1,-1,-1,-1,-0.8772,-1.1196,-1.0659,-1.2486,-1.4356
42,350000,2014-08-01,present,associate software engineer,Bangalore,m,1991-12-11,91.4,CISCE,2010,73.0,CBSE,1,B.Tech/B.E.,IT,71.0,119,0,Uttar Pradesh,2014,555,560,825,0.23780283983757,525,-1,315,-1,-1,-1,-1,-0.0154,0.2578,-0.5349,-1.1218,-1.359
43,120000,2014-04-01,2015-04-01 00:00:00,.net developer,Hyderabad,m,1993-07-05,59.0,StateBoard,2010,87.7,StateBoard,2,B.Tech/B.E.,EC,71.04,16150,1,Telangana,2014,300,340,355,0.112139438207403,155,228,-1,-1,-1,-1,-1,-0.0154,-2.4516,-0.4511,0.2727,-3.1602
44,380000,2012-05-01,2015-04-01 00:00:00,programmer analyst,Bangalore,f,1989-01-06,84.5,Unknown,2007,82.5,Unknown,2,B.Tech/B.E.,CS,92.1,3461,0,Karnataka,2011,425,525,515,0.377551419424541,375,-1,-1,-1,-1,-1,-1,0.51,0.6568,-0.6343,0.2973,0.1864
45,110000,2014-09-01,2015-01-01 00:00:00,production engineer,Chennai,m,1992-10-12,95.8,StateBoard,2010,87.16,StateBoard,2,B.Tech/B.E.,ME,79.0,482,0,Tamil Nadu,2014,430,395,500,0.0669607065028304,-1,-1,-1,253,-1,-1,-1,-0.5899,-1.1196,0.4711,-0.7415,-1.4356
46,205000,2013-07-01,2015-04-01 00:00:00,jr. software engineer,Noida,f,1991-09-24,85.6,CBSE,2008,82.0,CBSE,2,B.Tech/B.E.,CS,74.01,13094,0,Haryana,2012,370,495,455,0.0800552813405495,445,-1,253,-1,-1,-1,-1,0.1282,0.5454,0.1637,-0.4879,0.8637
47,95000,2012-10-01,2013-10-01 00:00:00,software developer,Delhi,m,1992-02-01,69.6,StateBoard,2008,71.4,StateBoard,2,B.Tech/B.E.,CS,77.0,3054,0,Orissa,2012,485,415,575,0.925645767094482,-1,-1,-1,-1,-1,-1,-1,-0.4173,0.6568,-0.7794,1.7074,0.1864
48,390000,2013-09-01,present,software engineer,Bangalore,m,1991-02-28,86.6,CBSE,2009,75.0,CBSE,2,B.Tech/B.E.,CS,74.0,11637,0,Madhya Pradesh,2013,505,545,565,0.356536487724475,475,-1,346,-1,-1,-1,-1,-2.5039,0.0328,0.3817,0.26793,0.5024
49,270000,2012-05-01,2014-07-01 00:00:00,qa analyst,Bangalore,m,1989-03-27,81.92,StateBoard,2007,61.46,StateBoard,2,B.Tech/B.E.,IT,57.54,1109,1,Karnataka,2011,565,465,415,0.843123726665742,515,-1,-1,-1,-1,-1,-1,1.2828,1.7488,1.8331,-2.2879,1.1343
50,60000,2011-06-01,2013-02-01 00:00:00,trainee software developer,Bhubaneswar,f,1988-02-13,66.5,CBSE,2005,49.5,StateBoard,2,MCA,CS,89.7,889,0,Orissa,2011,505,505,485,0.916869961103619,555,-1,-1,-1,-1,-1,-1,-1.0355,0.0328,-2.2308,1.0024,0.3444
51,120000,2015-02-01,present,ui developer,Hyderabad,m,1991-11-03,80.0,StateBoard,2009,72.5,StateBoard,2,B.Tech/B.E.,CS,57.8,12867,0,Andhra Pradesh,2013,580,485,455,0.783303536670298,405,388,-1,-1,-1,-1,-1,-0.4463,-0.1206,-1.0659,-0.1076,-1.244
52,400000,2015-04-01,present,software engineer,Mumbai,m,1992-03-09,85.2,CISCE,2010,81.5,CISCE,2,B.Tech/B.E.,CS,57.64,8350,0,Uttar Pradesh,2014,545,385,485,0.600057182338341,435,-1,-1,-1,-1,-1,-1,1.1336,0.3789,1.0859,0.653,0.2889
53,350000,2014-09-01,present,assistant system engineer,Mumbai,m,1991-08-06,89.25,StateBoard,2010,78.0,StateBoard,2,B.Tech/B.E.,EL,80.0,2066,1,West Bengal,2014,570,510,545,0.79293627759454,-1,-1,-1,-1,484,-1,-1,-0.159,-0.1206,-0.6048,-1.6289,-1.4356
54,120000,2014-11-01,present,android developer,Delhi,f,1992-01-14,58.4,CBSE,2008,64.8,CBSE,2,MCA,CS,80.0,85,0,Haryana,2014,440,415,554,0.793580614548506,495,-1,-1,-1,-1,-1,-1,0.335,0.0924,-0.6582,-0.4821,-0.1543
55,250000,2014-08-01,present,software engineer,Mangalore,m,1992-02-13,90.8,StateBoard,2010,90.1,StateBoard,2,B.Tech/B.E.,CS,67.7,12832,0,Karnataka,2014,525,530,595,0.486747008438193,485,-1,376,-1,-1,-1,-1,-0.3027,0.7119,-0.2974,1.1601,-0.4776
56,240000,2013-03-01,present,customer service,Rewari,f,1989-07-15,78.0,CBSE,2006,70.1,CBSE,2,B.Tech/B.E.,EC,68.2,166,0,Haryana,2011,415,595,495,0.694479327708463,-1,366,-1,-1,-1,-1,-1,0.8192,-0.0842,-0.598,-0.6428,-0.6035
57,525000,2012-03-01,present,test engineer,Hyderabad,f,1989-08-15,89.88,Unknown,2007,95.4,Unknown,2,B.Tech/B.E.,EC,80.8,1027,1,Telangana,2011,555,475,635,0.694479327708463,-1,366,-1,-1,-1,420,-1,0.3555,-0.2793,-0.6343,-0.2902,-0.2875
58,200000,2013-06-01,2014-01-01 00:00:00,project engineer,Gaziabaad,m,1990-03-27,63.3,StateBoard,2008,61.1,StateBoard,2,B.Tech/B.E.,EC,66.9,11386,0,Uttar Pradesh,2013,420,510,665,0.112139438207403,-1,228,-1,-1,-1,-1,-1,-1.0208,-0.6201,-0.2974,-0.1076,-1.244
59,120000,2009-09-01,2013-04-01 00:00:00,software engineer,Bangalore,m,1977-10-30,72.0,CBSE,1995,49.0,StateBoard,2,B.Tech/B.E.,CS,55.0,712,0,Karnataka,2011,640,460,250,0.525922584252055,415,300,-1,366,-1,-1,400,-0.3014,-0.4353,-0.9245,-0.349,-0.4455
60,305000,2013-11-01,present,software engineer,Chennai,f,1991-12-27,83.0,StateBoard,2009,79.0,StateBoard,2,B.Tech/B.E.,IT,70.0,9173,1,Telangana,2013,430,410,310,0.165633091512476,305,-1,-1,-1,-1,-1,-1,-0.159,-0.1206,0.1637,1.5404,-0.0943
61,300000,2014-10-01,2015-04-01 00:00:00,java developer,Chennai,m,1993-06-30,85.3,StateBoard,2010,88.3,StateBoard,2,B.Tech/B.E.,CS,85.0,434,1,Tamil Nadu,2014,370,375,325,0.356536487724475,315,-1,346,-1,-1,-1,-1,1.8517,1.5444,0.3174,0.3995,0.6721
62,145000,2014-06-01,present,engineer,Noida,f,1991-03-02,81.0,CBSE,2009,77.8,CBSE,2,B.Tech/B.E.,EC,65.35,11942,0,Uttar Pradesh,2014,535,510,390,0.207392169717661,-1,260,-1,-1,-1,260,-1,-1.1644,-0.9531,0.01,-0.7415,-0.8608
63,150000,2014-10-01,2015-04-01 00:00:00,management trainee,Bhiwadi,m,1992-01-10,60.66,StateBoard,2008,62.4,StateBoard,2,B.Tech/B.E.,ME,69.3,9738,0,Uttar Pradesh,2013,370,410,470,0.755375120895548,315,-1,-1,446,-1,-1,-1,-2.2351,-2.6847,-2.6028,0.3995,-5.477
64,600000,2010-07-01,2012-07-01 00:00:00,java software engineer,Gurgaon,m,1986-05-29,78.0,CBSE,2004,83.0,CBSE,1,B.Tech/B.E.,IT,72.13,2,1,Delhi,2010,444,555,695,0.999904558268382,804,-1,-1,-1,-1,-1,-1,0.6646,0.3448,0.8171,0.6498,0.0284
65,310000,2014-02-01,2014-05-01 00:00:00,system engineer,Mysore,m,1990-12-02,89.37,StateBoard,2009,79.0,StateBoard,2,B.Tech/B.E.,EC,70.0,2085,0,West Bengal,2013,630,580,510,0.338786347219528,-1,292,-1,-1,-1,-1,-1,0.99,1.2114,-0.2974,-1.1218,1.247
66,455000,2011-01-01,2013-09-01 00:00:00,system engineer,Bangalore,m,1989-08-29,90.0,StateBoard,2006,94.4,StateBoard,2,B.Tech/B.E.,EC,76.12,1396,0,Andhra Pradesh,2010,505,525,595,0.124502074009537,615,233,-1,-1,-1,-1,-1,-0.2628,-0.1232,0.0914,-1.2303,-0.1295
67,400000,2014-08-01,2015-02-01 00:00:00,test engineer,Bangalore,f,1991-08-05,81.0,CISCE,2010,79.0,CISCE,2,B.Tech/B.E.,EC,71.5,64,0,Uttar Pradesh,2014,510,500,575,0.493596387301038,455,324,-1,-1,-1,-1,-1,-1.8825,-3.7836,-2.4491,0.9066,-1.8189
68,150000,2010-07-01,2012-01-01 00:00:00,recruitment coordinator,Chennai,f,1989-03-18,78.0,Matriculation Board,2006,86.67,StateBoard,2,B.Tech/B.E.,EC,77.55,4173,1,Tamil Nadu,2010,535,465,535,0.910770164246022,445,433,-1,-1,-1,-1,-1,-0.880999999999999,1.4368,0.3817,-0.4078,-0.1295
69,250000,2015-06-01,present,software developer,Mangalore,m,1993-01-15,84.4,CBSE,2011,73.2,CBSE,2,B.Tech/B.E.,CS,70.0,272,0,Punjab,2015,570,410,535,0.670743151433127,455,-1,-1,-1,-1,-1,-1,-0.0154,0.8784,0.01,-0.7415,-0.2859
70,320000,2014-03-01,present,system engineer,Chennai,m,1992-12-12,89.0,StateBoard,2009,92.0,StateBoard,2,B.Tech/B.E.,EL,76.4,14382,1,Telangana,2013,625,645,605,0.982057124317279,385,388,-1,-1,606,-1,-1,-1.4517,-1.4526,-1.2196,1.794,-2.3937
71,250000,2014-05-01,present,java software engineer,Rajkot,m,1990-12-03,86.0,StateBoard,2008,64.0,StateBoard,2,B.Tech/B.E.,IT,61.17,9564,0,Gujarat,2013,665,545,415,0.911395278391328,405,-1,500,-1,-1,-1,-1,1.1336,1.3779,2.1617,-0.995,1.0554
72,200000,2014-06-01,2015-01-01 00:00:00,technical support engineer,Bangalore,m,1992-12-21,85.0,CISCE,2010,75.0,CBSE,2,B.Tech/B.E.,CS,60.0,319,1,Karnataka,2014,675,480,500,0.842248322257836,425,-1,469,-1,-1,-1,-1,1.1336,1.0449,0.1637,-1.2486,0.0973
73,240000,2014-06-01,2015-04-01 00:00:00,android developer,Noida,m,1992-07-06,75.0,CBSE,2009,64.0,CBSE,2,B.Tech/B.E.,CS,67.0,184,0,Uttar Pradesh,2014,510,480,485,-1.0,-1,-1,-1,-1,-1,-1,-1,-0.159,0.8784,1.2396,0.2727,-0.6692
74,120000,2015-04-01,2015-08-01 00:00:00,data analyst,Indore,f,1991-08-10,86.0,StateBoard,2009,77.0,StateBoard,2,B.Tech/B.E.,CS,75.0,4973,0,Madhya Pradesh,2013,325,510,295,0.0185409416754305,415,-1,192,-1,-1,-1,-1,0.1282,0.0459,0.1637,0.0192,-0.0943
75,300000,2014-09-01,present,programmer analyst,Bangalore,m,1992-09-03,70.6,CBSE,2010,78.67,StateBoard,2,B.Tech/B.E.,EC,75.84,182,1,Karnataka,2014,580,485,510,0.0531603052826837,285,196,-1,-1,-1,-1,-1,0.5591,0.2124,-1.2196,-0.7415,-0.8608
76,800000,2012-06-01,present,software engineer,Bangalore,m,1991-01-25,93.44,StateBoard,2008,90.0,StateBoard,2,B.Tech/B.E.,CS,87.6,1384,0,Karnataka,2012,515,475,635,0.942116551485008,575,-1,-1,-1,-1,-1,-1,-0.4173,0.9688,-0.1988,-0.2902,0.3049
77,120000,2014-07-01,present,test engineer,Unknown,m,1992-02-18,76.0,StateBoard,2009,72.0,StateBoard,2,B.Tech/B.E.,CS,63.2,8888,0,Tamil Nadu,2013,510,355,340,0.123016731640823,285,-1,-1,-1,-1,-1,-1,-0.159,-0.2871,0.4711,0.2727,-0.4776
78,325000,2014-12-01,2015-04-01 00:00:00,system engineer,Mysore,f,1993-05-05,86.4,CBSE,2010,78.2,CBSE,2,B.Tech/B.E.,EC,73.5,6982,1,Karnataka,2014,535,435,440,0.207392169717661,355,260,530,-1,-1,-1,-1,0.8463,1.3779,1.3933,0.653,-0.2859
79,100000,2013-08-01,2014-05-01 00:00:00,software developer,Unknown,f,1992-05-17,86.0,StateBoard,2009,95.0,StateBoard,2,B.Tech/B.E.,EC,78.6,4726,0,Telangana,2013,405,545,450,0.649389714846691,375,356,-1,-1,-1,-1,-1,0.5591,-0.4536,0.01,-0.4879,0.6721
80,300000,2014-08-01,present,assistant software engineer,Bangalore,m,1992-09-26,84.83,CBSE,2010,82.4,CBSE,2,B.Tech/B.E.,CS,74.14,903,0,Uttar Pradesh,2014,665,595,705,0.744758354008939,505,-1,438,-1,-1,-1,-1,-0.4463,0.2124,0.3174,-1.5021,-0.2859
81,280000,2014-10-01,2015-04-01 00:00:00,faculty,Delhi,m,1990-07-05,72.3,CISCE,2008,60.2,CBSE,2,B.Tech/B.E.,EC,69.38,8546,1,Rajasthan,2013,555,475,415,0.694479327708463,-1,366,-1,-1,-1,393,-1,1.4208,0.5454,-0.2974,1.0333,-0.6692
82,215000,2014-10-01,2015-03-01 00:00:00,entry level management trainee,Delhi,f,1987-03-15,69.0,CBSE,2005,62.6,CBSE,2,B.Tech/B.E.,EL,76.25,5605,0,Madhya Pradesh,2010,395,455,475,0.694479327708463,195,366,-1,-1,-1,-1,-1,-0.4173,0.1888,-0.4891,0.4148,0.8183
83,145000,2014-06-01,2014-08-01 00:00:00,customer service representative,Jaipur,m,1993-11-23,80.0,StateBoard,2010,70.0,StateBoard,2,B.Tech/B.E.,EC,55.0,9699,1,Rajasthan,2014,430,450,385,-1.0,-1,-1,-1,-1,-1,-1,-1,0.1282,-0.1206,0.9322,1.5404,0.0973
84,445000,2011-11-01,present,software test engineer,Pune,f,1987-05-10,73.33,Unknown,2004,71.33,Unknown,2,MCA,CS,61.0,331,1,Maharashtra,2010,375,535,534,0.600057182338341,435,-1,-1,-1,-1,-1,-1,-2.272,-0.2793,-1.2148,0.8848,-0.7615
85,315000,2015-07-01,present,firmware engineer,Noida,m,1993-08-18,86.16,CBSE,2011,70.08,CBSE,2,B.Tech/B.E.,EC,63.13,7376,0,Uttar Pradesh,2015,455,595,500,0.207392169717661,225,260,-1,-1,-1,-1,-1,0.99,1.0449,1.7007,-2.0092,0.2889
